,Class Index,Class,Generic Class
0,0,drug induced pigmentary changes,skin disease
1,1,photodermatoses,skin disease
2,2,dermatofibroma,skin disease
3,3,psoriasis,skin disease
4,4,kaposi sarcoma,skin disease
5,5,neutrophilic dermatoses,skin disease
6,6,granuloma annulare,skin disease
7,7,nematode infection,skin disease
8,8,allergic contact dermatitis,skin disease
9,9,necrobiosis lipoidica,skin disease
10,10,hidradenitis,skin disease
11,11,melanoma,skin disease
12,12,acne vulgaris,skin disease
13,13,sarcoidosis,skin disease
14,14,xeroderma pigmentosum,skin disease
15,15,actinic keratosis,skin disease
16,16,scleroderma,skin disease
17,17,syringoma,skin disease
18,18,folliculitis,skin disease
19,19,pityriasis lichenoides chronica,skin disease
20,20,porphyria,skin disease
21,21,dyshidrotic eczema,skin disease
22,22,seborrheic dermatitis,skin disease
23,23,prurigo nodularis,skin disease
24,24,acne,skin disease
25,25,neurofibromatosis,skin disease
26,26,eczema,skin disease
27,27,pediculosis lids,skin disease
28,28,basal cell carcinoma,skin disease
29,29,pityriasis rubra pilaris,skin disease
30,30,pityriasis rosea,skin disease
31,31,livedo reticularis,skin disease
32,32,stevens johnson syndrome,skin disease
33,33,erythema multiforme,skin disease
34,34,acrodermatitis enteropathica,skin disease
35,35,epidermolysis bullosa,skin disease
36,36,dermatomyositis,skin disease
37,37,urticaria,skin disease
38,38,basal cell carcinoma morpheiform,skin disease
39,39,vitiligo,skin disease
40,40,erythema nodosum,skin disease
41,41,lupus erythematosus,skin disease
42,42,lichen planus,skin disease
43,43,sun damaged skin,skin disease
44,44,drug eruption,skin disease
45,45,scabies,skin disease
46,46,cheilitis,skin disease
47,47,urticaria pigmentosa,skin disease
48,48,behcets disease,skin disease
49,49,nevocytic nevus,skin disease
50,50,mycosis fungoides,skin disease
51,51,superficial spreading melanoma ssm,skin disease
52,52,porokeratosis of mibelli,skin disease
53,53,juvenile xanthogranuloma,skin disease
54,54,milia,skin disease
55,55,granuloma pyogenic,skin disease
56,56,papilomatosis confluentes and reticulate,skin disease
57,57,neurotic excoriations,skin disease
58,58,epidermal nevus,skin disease
59,59,naevus comedonicus,skin disease
60,60,erythema annulare centrifigum,skin disease
61,61,pilar cyst,skin disease
62,62,pustular psoriasis,skin disease
63,63,ichthyosis vulgaris,skin disease
64,64,lyme disease,skin disease
65,65,striae,skin disease
66,66,rhinophyma,skin disease
67,67,calcinosis cutis,skin disease
68,68,stasis edema,skin disease
69,69,neurodermatitis,skin disease
70,70,congenital nevus,skin disease
71,71,squamous cell carcinoma,skin disease
72,72,mucinosis,skin disease
73,73,keratosis pilaris,skin disease
74,74,keloid,skin disease
75,75,tuberous sclerosis,skin disease
76,76,acquired autoimmune bullous diseaseherpes gestationis,skin disease
77,77,fixed eruptions,skin disease
78,78,lentigo maligna,skin disease
79,79,lichen simplex,skin disease
80,80,dariers disease,skin disease
81,81,lymphangioma,skin disease
82,82,pilomatricoma,skin disease
83,83,lupus subacute,skin disease
84,84,perioral dermatitis,skin disease
85,85,disseminated actinic porokeratosis,skin disease
86,86,erythema elevatum diutinum,skin disease
87,87,halo nevus,skin disease
88,88,aplasia cutis,skin disease
89,89,incontinentia pigmenti,skin disease
90,90,tick bite,skin disease
91,91,fordyce spots,skin disease
92,92,telangiectases,skin disease
93,93,solid cystic basal cell carcinoma,skin disease
94,94,paronychia,skin disease
95,95,becker nevus,skin disease
96,96,pyogenic granuloma,skin disease
97,97,langerhans cell histiocytosis,skin disease
98,98,port wine stain,skin disease
99,99,malignant melanoma,skin disease
100,100,factitial dermatitis,skin disease
101,101,xanthomas,skin disease
102,102,nevus sebaceous of jadassohn,skin disease
103,103,hailey hailey disease,skin disease
104,104,scleromyxedema,skin disease
105,105,porokeratosis actinic,skin disease
106,106,rosacea,skin disease
107,107,acanthosis nigricans,skin disease
108,108,myiasis,skin disease
109,109,seborrheic keratosis,skin disease
110,110,mucous cyst,skin disease
111,111,lichen amyloidosis,skin disease
112,112,ehlers danlos syndrome,skin disease
113,113,tungiasis,skin disease
