Class Index,Class
0,Tench
1,Goldfish
2,Great White Shark
3,Tiger Shark
4,Hammerhead Shark
5,Electric Ray
6,Stingray
7,Rooster
8,Hen
9,Ostrich
10,Brambling
11,Goldfinch
12,House Finch
13,Junco
14,Indigo Bunting
15,American Robin
16,Bulbul
17,Jay
18,Magpie
19,Chickadee
20,American Dipper
21,Kite (Bird Of Prey)
22,Bald Eagle
23,Vulture
24,Great Grey Owl
25,Fire Salamander
26,Smooth Newt
27,Newt
28,Spotted Salamander
29,Axolotl
30,American Bullfrog
31,Tree Frog
32,Tailed Frog
33,Loggerhead Sea Turtle
34,Leatherback Sea Turtle
35,Mud Turtle
36,Terrapin
37,Box Turtle
38,Banded Gecko
39,Green Iguana
40,Carolina Anole
41,Desert Grassland Whiptail Lizard
42,Agama
43,Frilled-Necked Lizard
44,Alligator Lizard
45,Gila Monster
46,European Green Lizard
47,Chameleon
48,Komodo Dragon
49,Nile Crocodile
50,American Alligator
51,Triceratops
52,Worm Snake
53,Ring-Necked Snake
54,Eastern Hog-Nosed Snake
55,Smooth Green Snake
56,Kingsnake
57,Garter Snake
58,Water Snake
59,Vine Snake
60,Night Snake
61,Boa Constrictor
62,African Rock Python
63,Indian Cobra
64,Green Mamba
65,Sea Snake
66,Saharan Horned Viper
67,Eastern Diamondback Rattlesnake
68,Sidewinder Rattlesnake
69,Trilobite
70,Harvestman
71,Scorpion
72,Yellow Garden Spider
73,Barn Spider
74,European Garden Spider
75,Southern Black Widow
76,Tarantula
77,Wolf Spider
78,Tick
79,Centipede
80,Black Grouse
81,Ptarmigan
82,Ruffed Grouse
83,Prairie Grouse
84,Peafowl
85,Quail
86,Partridge
87,African Grey Parrot
88,Macaw
89,Sulphur-Crested Cockatoo
90,Lorikeet
91,Coucal
92,Bee Eater
93,Hornbill
94,Hummingbird
95,Jacamar
96,Toucan
97,Duck
98,Red-Breasted Merganser
99,Goose
100,Black Swan
101,Tusker
102,Echidna
103,Platypus
104,Wallaby
105,Koala
106,Wombat
107,Jellyfish
108,Sea Anemone
109,Brain Coral
110,Flatworm
111,Nematode
112,Conch
113,Snail
114,Slug
115,Sea Slug
116,Chiton
117,Chambered Nautilus
118,Dungeness Crab
119,Rock Crab
120,Fiddler Crab
121,Red King Crab
122,American Lobster
123,Spiny Lobster
124,Crayfish
125,Hermit Crab
126,Isopod
